No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,2.00901E+13,2009.01.01,59:57.3,39.2483,26.0038,16,3,3,0,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
2,2.00901E+13,2009.01.01,49:08.1,37.7682,30.1762,9.4,2.9,2.9,0,,0,0,Ke,ARDICLI-KECIBORLU (ISPARTA) [South West  4.5 km]
3,2.00901E+13,2009.01.01,46:52.5,39.251,26.0868,13.5,3.6,0,3.6,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
4,2.00901E+13,2009.01.01,44:06.3,36.0097,28.2862,18.2,2.4,0,2.4,,0,0,Ke,AKDENIZ
5,2.00901E+13,2009.01.01,32:21.2,39.2465,26.0218,5.3,3.1,3.1,0,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
6,2.00901E+13,2009.01.01,31:47.2,39.2448,26.0402,9.7,3.3,3.3,0,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
7,2.00901E+13,2009.01.01,27:49.7,39.2452,26.0355,5.3,3.3,3.3,0,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
8,2.00901E+13,2009.01.01,04:54.0,39.2705,26.254,5,2.9,2.9,0,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
9,2.00901E+13,2009.01.01,45:34.4,39.2355,26.0528,14,3.6,0,3.6,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
10,2.00901E+13,2009.01.01,01:56.0,37.061,29.1195,13.7,3.5,3.5,3.4,,0,0,Ke,SUCATI-ACIPAYAM (DENIZLI) [South West  2.4 km]
11,2.00901E+13,2009.01.01,21:51.2,40.8687,40.614,14.6,2.2,0,2.2,,0,0,Ke,KUCUKCAYIR- (RIZE) [South East  4.2 km]
12,2.00901E+13,2009.01.01,35:05.9,39.2478,26.1073,12,3,3,0,,0,0,Ke,MIDILLI ADASI (EGE DENIZI)
13,2.00901E+13,2009.01.01,34:25.2,40.2733,26.9937,22.2,2.7,2.7,0,,0,0,Ke,ARABAKONAGI-BIGA (ÇANAKKALE) [South West  0.4 km]
14,2.00901E+13,2009.01.01,42:19.6,36.8507,27.0783,136.8,3.1,3.1,0,,0,0,Ke,ONIKI ADALAR (AKDENIZ)
15,2.00901E+13,2009.01.01,28:47.4,37.5812,30.6303,6.7,2.9,2.9,0,,0,0,Ke,HISAR-AGLASUN (BURDUR) [South West  0.6 km]
16,2.00901E+13,2009.01.01,27:08.8,37.2388,38.682,5,3.2,3.2,0,,0,0,Ke,OGUTCU- (SANLIURFA) [South West  2.9 km]
17,2.00901E+13,2009.01.01,44:08.1,38.3947,38.9157,3.5,3.1,3.1,0,,0,0,Ke,YAYLANLI-BASKIL (ELAZIG) [South East  1.7 km]
18,2.00901E+13,2009.01.01,48:37.7,37.8542,29.232,5,3.3,3.3,0,,0,0,Ke,KOCADERE- (DENIZLI) [North East  3.4 km]
19,2.00812E+13,2008.12.31,50:11.5,39.1497,28.2275,5.3,2.9,2.9,0,,0,0,Ke,BAYRAKLI-SINDIRGI (BALIKESIR) [South West  1.4 km]
20,2.00812E+13,2008.12.31,08:52.7,38.9677,26.708,14.7,3.2,3.2,0,,0,0,Ke,DENIZKOY-DIKILI (IZMIR) [West 9.2 km]
21,2.00812E+13,2008.12.31,02:08.3,37.9613,29.2467,5,2.7,2.7,0,,0,0,Ke,GUZELPINAR- (DENIZLI) [South East  3.3 km]
22,2.00812E+13,2008.12.31,45:55.7,37.5327,35.6857,13.3,2.9,2.9,0,,0,0,Ke,KIZILLAR-KOZAN (ADANA) [North West  2.8 km]
23,2.00812E+13,2008.12.31,25:21.1,40.2775,27.3078,4.8,2.7,2.7,0,,0,0,Ke,EGRIDERE-BIGA (ÇANAKKALE) [South West  1.3 km]
24,2.00812E+13,2008.12.31,47:29.7,39.7928,34.0528,7.6,2.8,2.8,0,,0,0,Ke,YENIYAPAN-DELICE (KIRIKKALE) [South West  3.3 km]
25,2.00812E+13,2008.12.31,35:58.1,37.0983,37.1798,14.6,2.8,2.8,0,,0,0,Ke,BESKUYU-SAHINBEY (GAZIANTEP) [South East  3.1 km]
26,2.00812E+13,2008.12.31,41:29.1,38.0018,29.1182,5,2.6,2.6,0,,0,0,Ke,HAYTABEY- (DENIZLI) [North East  0.1 km]
27,2.00812E+13,2008.12.31,37:39.8,37.2628,30.635,22.6,2.3,2.3,0,,0,0,Ke,KARAOT-BUCAK (BURDUR) [East 4.8 km]
28,2.00812E+13,2008.12.31,01:37.5,37.2148,30.4852,8.7,2.8,2.8,0,,0,0,Ke,BADEMAGACI-DOSEMEALTI (ANTALYA) [North East  0.9 km]
29,2.00812E+13,2008.12.31,12:35.0,38.4608,40.559,5,2.8,2.8,0,,0,0,Ke,CEPER-LICE (DIYARBAKIR) [South 0.8 km]
30,2.00812E+13,2008.12.31,39:25.4,41.0448,34.5238,5,3.2,3.2,0,,0,0,Ke,BALDIRAN-OSMANCIK (ÇORUM) [North East  3.1 km]
31,2.00812E+13,2008.12.31,33:22.1,39.8502,39.8143,4.4,2.7,2.7,0,,0,0,Ke,YAYLALAR-CAYIRLI (ERZINCAN) [South East  0.8 km]
32,2.00812E+13,2008.12.31,01:48.2,37.9423,29.1637,12.2,2.8,2.8,0,,0,0,Ke,YENIKOY- (DENIZLI) [North East  5.2 km]
33,2.00812E+13,2008.12.31,36:31.9,37.7808,30.1978,8.4,3,3,0,,0,0,Ke,ARDICLI-KECIBORLU (ISPARTA) [South West  2.5 km]
34,2.00812E+13,2008.12.31,22:35.0,37.2445,30.6552,9.4,2.9,2.9,0,,0,0,Ke,KARAVELILER-DOSEMEALTI (ANTALYA) [North 3.5 km]
35,2.00812E+13,2008.12.31,59:42.1,39.236,27.9958,5.5,2.5,2.5,0,,0,0,Ke,HACET-KIRKAGAC (MANISA) [East 3.2 km]
36,2.00812E+13,2008.12.31,39:52.7,39.3532,39.8957,13,2.6,2.6,0,,0,0,Ke,EFEAGILI-PULUMUR (TUNCELI) [East 3.5 km]
37,2.00812E+13,2008.12.31,26:22.7,39.3433,39.8472,11.2,2.8,2.8,0,,0,0,Ke,EFEAGILI-PULUMUR (TUNCELI) [South West  1.2 km]
38,2.00812E+13,2008.12.31,57:31.6,36.9728,29.2065,10.7,2.9,2.9,0,,0,0,Ke,KIRAZLIYAYLA-CAMELI (DENIZLI) [South East  1.3 km]
39,2.00812E+13,2008.12.31,39:07.2,38.4862,40.549,8.7,3.4,3.4,0,,0,0,Ke,TUZLA-LICE (DIYARBAKIR) [South East  0.8 km]
40,2.00812E+13,2008.12.31,50:10.7,37.6093,35.6728,7.2,2.4,2.4,0,,0,0,Ke,SALMANLI-KOZAN (ADANA) [North East  3.4 km]
41,2.00812E+13,2008.12.31,13:13.2,39.7107,41.3002,5.5,3,3,0,,0,0,Ke,YALINCA-TEKMAN (ERZURUM) [North West  4.2 km]
42,2.00812E+13,2008.12.31,22:54.0,37.8908,29.1065,6.6,2.7,2.7,0,,0,0,Ke,SALIHAGA- (DENIZLI) [South East  2.4 km]
43,2.00812E+13,2008.12.31,09:58.0,38.6115,43.4212,6.5,2.6,2.6,0,,0,0,Ke,COBANOGLU- (VAN) [North West  2.5 km]
44,2.00812E+13,2008.12.30,13:53.4,37.7717,30.1952,10.5,2.8,2.8,0,,0,0,Ke,ARDICLI-KECIBORLU (ISPARTA) [South West  3.5 km]
45,2.00812E+13,2008.12.30,07:21.1,39.4485,33.0078,10.1,2.6,2.6,0,,0,0,Ke,KOCYAYLA-BALA (ANKARA) [South East  2.3 km]
46,2.00812E+13,2008.12.30,05:01.4,39.529,33.0673,2.1,2.6,2.6,0,,0,0,Ke,BALA (ANKARA) [South West  5.5 km]
47,2.00812E+13,2008.12.30,44:21.3,37.9052,29.164,5.3,2.8,2.8,0,,0,0,Ke,KUCUKDERE- (DENIZLI) [North East  1.5 km]
48,2.00812E+13,2008.12.30,51:10.4,37.0503,28.1635,7.1,3.1,3.1,0,,0,0,Ke,KIRAN- (MUGLA) [South West  3.6 km]
49,2.00812E+13,2008.12.30,25:04.9,37.7808,30.1863,10.6,2.9,2.9,0,,0,0,Ke,ARDICLI-KECIBORLU (ISPARTA) [South West  2.9 km]
50,2.00812E+13,2008.12.30,39:01.1,37.5003,35.7883,16.8,3.2,3.2,0,,0,0,Ke,ORUCLU-KOZAN (ADANA) [East 1.6 km]
51,2.00812E+13,2008.12.30,25:43.7,38.7557,30.4658,5.4,3.4,3.4,0,,0,0,Ke,CAKIRKOY- (AFYONKARAHISAR) [South West  1.1 km]
52,2.00812E+13,2008.12.30,38:45.5,37.8018,36.7335,5,2.7,2.7,0,,0,0,Ke,KAPIKAYA- (KAHRAMANMARAS) [South West  2.2 km]
53,2.00812E+13,2008.12.30,13:49.6,41.4103,35.8453,5,2.8,2.8,0,,0,0,Ke,DUZKOY-BAFRA (SAMSUN) [South East  1.6 km]
54,2.00812E+13,2008.12.30,09:09.0,38.4205,39.041,6.1,3.2,3.2,0,,0,0,Ke,GOZELI-SIVRICE (ELAZIG) [South West  2.2 km]
55,2.00812E+13,2008.12.30,44:09.6,37.9292,29.2428,6.1,2.8,2.8,0,,0,0,Ke,GUZELPINAR- (DENIZLI) [South East  6.1 km]
56,2.00812E+13,2008.12.30,53:10.6,37.8055,36.6695,9.4,3.1,3.1,0,,0,0,Ke,CAGLAYAN- (KAHRAMANMARAS) [South East  1.2 km]
57,2.00812E+13,2008.12.30,47:48.2,37.6315,37.4763,5.2,3,3,0,,0,0,Ke,GOCER-PAZARCIK (KAHRAMANMARAS) [North East  0.7 km]
58,2.00812E+13,2008.12.30,26:20.2,37.3962,38.6763,11.8,2.6,2.6,0,,0,0,Ke,KARACA-BOZOVA (SANLIURFA) [South East  1.6 km]
