No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,2.02402E+13,2024.02.29,21:17.5,38.2433,38.0655,5.8,2,0,2,0,0,0,Ke,KIRLANGIC-YESILYURT (MALATYA) [South West  0.0 km]
2,2.02402E+13,2024.02.29,02:31.7,38.0892,38.4192,4.3,2.4,0,2.4,0,0,0,Ke,KARAGOL-CELIKHAN (ADIYAMAN) [North East  1.4 km]
3,2.02402E+13,2024.02.29,47:41.5,38.43,36.9818,5,2.3,0,2.3,0,0,0,Ke,BUGET-AFSIN (KAHRAMANMARAS) [North West  0.7 km]
4,2.02402E+13,2024.02.29,13:48.3,38.9262,39.899,10,2.1,0,2.1,0,0,0,Ke,KIRGIL-KARAKOCAN (ELAZIG) [North West  1.4 km]
5,2.02402E+13,2024.02.29,04:19.5,38.2743,37.7742,4.5,3.2,0,3.2,3.2,0,0,Ke,CEVIRME-AKCADAG (MALATYA) [South East  4.1 km]
6,2.02402E+13,2024.02.29,22:27.1,37.2102,37.0278,7.8,3.5,0,3.5,3.3,0,0,Ke,ATALAR-SEHITKAMIL (GAZIANTEP) [North 3.9 km]
7,2.02402E+13,2024.02.29,47:29.3,38.129,36.5452,5.3,3,0,3,3,0,0,Ke,CAMDERE-GOKSUN (KAHRAMANMARAS) [North West  1.7 km]
8,2.02402E+13,2024.02.29,27:47.8,35.648,28.5983,9.6,3.7,0,3.7,3.7,0,0,Ke,AKDENIZ
9,2.02402E+13,2024.02.29,52:06.4,38.8903,27.267,9.5,3.2,0,3.2,3.2,0,0,Ke,PINARKOY- (MANISA) [North West  1.1 km]
10,2.02402E+13,2024.02.29,35:58.3,38.2673,30.569,10.1,2.2,0,2.2,0,0,0,Ke,AKCIN-DINAR (AFYONKARAHISAR) [North East  2.2 km]
11,2.02402E+13,2024.02.29,23:55.0,37.2747,36.9873,6.2,3,0,3,3,0,0,Ke,AKDEMIR-PAZARCIK (KAHRAMANMARAS) [West 2.3 km]
12,2.02402E+13,2024.02.29,55:05.4,35.0432,32.5212,9.4,2.2,0,2.2,0,0,0,Ke,KIBRIS RUM KESIMI
13,2.02402E+13,2024.02.29,42:24.0,38.2985,30.5303,6.7,3.4,0,3.3,3.4,0,0,Ke,CICEKTEPE-DINAR (AFYONKARAHISAR) [North West  1.5 km]
14,2.02402E+13,2024.02.29,09:37.3,38.2342,38.268,5,2,0,2,0,0,0,Ke,KADIRUSAGI-YESILYURT (MALATYA) [East 1.7 km]
15,2.02402E+13,2024.02.29,21:18.2,36.0013,29.2308,17,2,0,2,0,0,0,Ke,AKDENIZ
16,2.02402E+13,2024.02.29,51:37.8,40.1795,31.7238,8.6,2.1,0,2.1,0,0,0,Ke,SEKLI-BEYPAZARI (ANKARA) [South East  1.7 km]
17,2.02402E+13,2024.02.29,22:28.4,37.769,35.5968,5,2.4,0,2.4,0,0,0,Ke,KAPIKAYA-KOZAN (ADANA) [North West  3.3 km]
18,2.02402E+13,2024.02.29,56:10.7,37.974,36.7023,9.8,2.1,0,2.1,0,0,0,Ke,CAMLICA- (KAHRAMANMARAS) [North West  3.7 km]
