No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
1,2.02E+13,2024.01.01,58:47.2,37.1438,36.9478,7.2,2.4,0,2.4,0,0,0,Ke,IKIZKUYU-NURDAGI (GAZIANTEP) [North West  2.5 km]
2,2.02E+13,2024.01.01,15:58.4,37.5,43.829,5,2.3,0,2.3,0,0,0,Ke,AGACDIBI- (HAKKARI) [East 3.7 km]
3,2.02E+13,2024.01.01,50:03.1,38.8043,37.1562,5,2.1,0,2.1,0,0,0,Ke,DAVULHOYUK-GURUN (SIVAS) [South East  1.6 km]
4,2.02E+13,2024.01.01,10:12.1,39.3433,40.9952,4.8,2.4,0,2.4,0,0,0,Ke,KANTARKAYA-KARLIOVA (BINGOL) [South West  3.2 km]
5,2.02E+13,2024.01.01,54:35.2,37.4723,43.8465,5,4,0,3.9,4,0,0,Ke,CANAKLI- (HAKKARI) [North West  5.4 km]
6,2.02E+13,2024.01.01,50:11.7,37.4575,43.7468,9.6,2.9,0,2.9,0,0,0,Ke,OGUL- (HAKKARI) [North West  2.7 km]
7,2.02E+13,2024.01.01,39:07.3,39.5472,39.9857,5,3.2,0,3.2,3.2,0,0,Ke,SULEYMANUSAGI-PULUMUR (TUNCELI) [South West  0.6 km]
8,2.02E+13,2024.01.01,25:27.9,39.3028,26.7543,7.4,2,0,2,0,0,0,Ke,MUTLU-AYVALIK (BALIKESIR) [West 2.0 km]
9,2.02E+13,2024.01.01,08:42.2,39.1898,28.8722,7,2,0,2,0,0,0,Ke,AKDAG-SIMAV (KUTAHYA) [West 0.3 km]
10,2.02E+13,2024.01.01,07:24.6,39.793,41.8272,5,2.6,0,2.6,0,0,0,Ke,YEMLIK-KOPRUKOY (ERZURUM) [South East  0.9 km]
11,2.02E+13,2024.01.01,03:42.0,35.3272,28.3712,20.3,3,0,3,2.8,0,0,Ke,AKDENIZ
12,2.02E+13,2024.01.01,21:22.6,39.5657,39.996,5,2.3,0,2.3,0,0,0,Ke,SULEYMANUSAGI-PULUMUR (TUNCELI) [North 1.8 km]
13,2.02E+13,2024.01.01,13:44.8,36.9952,27.649,4,2,0,2,0,0,0,Ke,GOKOVA KORFEZI (AKDENIZ)
14,2.02E+13,2024.01.01,38:53.7,38.855,27.8447,2.4,2,0,2,0,0,0,Ke,MORALILAR-AKHISAR (MANISA) [South East  0.2 km]
15,2.02E+13,2024.01.01,39:53.5,38.3255,38.7383,8.8,2.5,0,2.5,0,0,0,Ke,SARIOT-KALE (MALATYA) [South West  2.9 km]
16,2.02E+13,2024.01.01,34:26.6,38.492,26.8565,5.6,3.1,0,3.1,3,0,0,Ke,IZMIR KORFEZI (EGE DENIZI)
17,2.02E+13,2024.01.01,30:49.3,37.6205,35.6115,2.4,2.3,0,2.3,0,0,0,Ke,KIZLARSEKISI-KOZAN (ADANA) [West 1.7 km]
18,2.02E+13,2024.01.01,09:39.3,37.5792,41.8793,5.4,2.1,0,2.1,0,0,0,Ke,KARTALKAYA-DARGECIT (MARDIN) [North 1.8 km]
19,2.02E+13,2024.01.01,58:58.5,39.6427,40.6785,5,2.8,0,2.8,0,0,0,Ke,BASBUDAK-TERCAN (ERZINCAN) [South East  2.7 km]
20,2.02E+13,2024.01.01,41:00.7,37.3843,44.0085,19.4,2.1,0,2.1,0,0,0,Ke,DAGLICA-YUKSEKOVA (HAKKARI) [West 7.0 km]
21,2.02E+13,2024.01.01,30:58.6,39.513,39.9633,5,2.4,0,2.4,0,0,0,Ke,GOCENEK-PULUMUR (TUNCELI) [North 4.4 km]
22,2.02E+13,2024.01.01,28:18.1,39.5492,39.9937,5,4.1,0,4.1,4.1,0,0,Ke,SULEYMANUSAGI-PULUMUR (TUNCELI) [East 0.1 km]
23,2.02E+13,2024.01.01,14:55.6,36.6912,28.1122,12.6,2.4,0,2.4,0,0,0,Ke,SELIMIYE-MARMARIS (MUGLA) [South East  2.5 km]
24,2.02E+13,2024.01.01,13:03.1,36.6722,28.0965,9.5,2.8,0,2.8,0,0,0,Ke,SOGUTKOY-MARMARIS (MUGLA) [North West  1.3 km]
25,2.02E+13,2024.01.01,42:58.7,37.9385,36.1382,5,2,0,2,0,0,0,Ke,EYUPLU-SAIMBEYLI (ADANA) [North West  1.8 km]
26,2.02E+13,2024.01.01,36:14.0,38.0575,43.4435,5,2.4,0,2.4,0,0,0,Ke,OZLUCE-GURPINAR (VAN) [South West  1.3 km]
27,2.02E+13,2024.01.01,06:39.0,38.1837,37.8098,9.3,2,0,2,0,0,0,Ke,CAVUSLU-DOGANSEHIR (MALATYA) [North East  4.2 km]
28,2.02E+13,2024.01.01,20:43.1,36.253,36.209,5.4,2.3,0,2.3,0,0,0,Ke,NARLICA- (HATAY) [North West  1.8 km]
29,2.02E+13,2024.01.01,26:16.1,37.9322,36.213,5,2.2,0,2.2,0,0,0,Ke,KALEBOYNU-GOKSUN (KAHRAMANMARAS) [South West  2.1 km]
30,2.02E+13,2024.01.01,48:05.7,36.6045,36.3988,9.3,2.3,0,2.3,0,0,0,Ke,KARAELMASLI-KIRIKHAN (HATAY) [North East  1.1 km]
31,2.02E+13,2023.12.31,28:46.5,37.49,43.7095,2.6,3.8,0,3.8,3.8,0,0,Ke,BAYKOY- (HAKKARI) [South 6.8 km]
32,2.02E+13,2023.12.31,51:02.3,41.1172,36.6627,2.8,2.4,0,2.4,0,0,0,Ke,KEMER-CARSAMBA (SAMSUN) [North 0.9 km]
33,2.02E+13,2023.12.31,09:41.4,38.1662,36.9423,5,2,0,2,0,0,0,Ke,NADIRKOY-AFSIN (KAHRAMANMARAS) [North West  1.3 km]
34,2.02E+13,2023.12.31,39:31.8,39.0328,33.4077,5,2.3,0,2.3,0,0,0,Ke,HACIBEKTASLI-SEREFLIKOCHISAR (ANKARA) [South West  9.1 km]
35,2.02E+13,2023.12.31,13:08.1,37.279,44.1807,22.2,2.2,0,2.2,0,0,0,Ke,DAGLICA-YUKSEKOVA (HAKKARI) [South East  13.4 km]
36,2.02E+13,2023.12.31,06:05.4,37.4405,43.9263,5,4.5,0,4.5,4.4,0,0,Ke,YAZILI-YUKSEKOVA (HAKKARI) [South West  3.6 km]
37,2.02E+13,2023.12.31,04:41.4,37.5303,43.8395,5,2.3,0,2.3,0,0,0,Ke,AGACDIBI- (HAKKARI) [North East  5.5 km]
38,2.02E+13,2023.12.31,53:04.1,37.4942,43.6955,5,3.5,0,3.5,3.4,0,0,Ke,CIMENLI- (HAKKARI) [East 6.1 km]
39,2.02E+13,2023.12.31,37:55.8,37.4763,43.6965,5,4.6,0,4.6,4.4,0,0,Ke,CIMENLI- (HAKKARI) [South East  6.3 km]
40,2.02E+13,2023.12.31,06:18.1,36.0852,28.154,5,2.6,0,2.6,0,0,0,Ke,AKDENIZ
41,2.02E+13,2023.12.31,10:02.8,37.3375,44.1032,25.9,2,0,2,0,0,0,Ke,DAGLICA-YUKSEKOVA (HAKKARI) [South East  4.3 km]
42,2.02E+13,2023.12.31,05:58.8,40.6822,42.0762,4,2.4,0,2.4,0,0,0,Ke,GULLUCE-OLTU (ERZURUM) [North West  1.5 km]
43,2.02E+13,2023.12.31,11:13.3,38.0652,36.6323,5.4,2.3,0,2.3,0,0,0,Ke,GUCUKSU-GOKSUN (KAHRAMANMARAS) [North West  2.0 km]
44,2.02E+13,2023.12.31,51:29.1,37.3687,42.1332,5.8,2,0,2,0,0,0,Ke,ULAS-CIZRE (SIRNAK) [South East  1.0 km]
