No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	20240229232117	2024.02.29	23:21:17.53	38.2433	38.0655	005.8	2.0	0.0	2.0	0.0	0.0	0.0	Ke	KIRLANGIC-YESILYURT (MALATYA) [South West  0.0 km]
000002	20240229230231	2024.02.29	23:02:31.69	38.0892	38.4192	004.3	2.4	0.0	2.4	0.0	0.0	0.0	Ke	KARAGOL-CELIKHAN (ADIYAMAN) [North East  1.4 km]
000003	20240229224741	2024.02.29	22:47:41.50	38.4300	36.9818	005.0	2.3	0.0	2.3	0.0	0.0	0.0	Ke	BUGET-AFSIN (KAHRAMANMARAS) [North West  0.7 km]
000004	20240229221348	2024.02.29	22:13:48.32	38.9262	39.8990	010.0	2.1	0.0	2.1	0.0	0.0	0.0	Ke	KIRGIL-KARAKOCAN (ELAZIG) [North West  1.4 km]
000005	20240229220419	2024.02.29	22:04:19.49	38.2743	37.7742	004.5	3.2	0.0	3.2	3.2	0.0	0.0	Ke	CEVIRME-AKCADAG (MALATYA) [South East  4.1 km]
000006	20240229212227	2024.02.29	21:22:27.10	37.2102	37.0278	007.8	3.5	0.0	3.5	3.3	0.0	0.0	Ke	ATALAR-SEHITKAMIL (GAZIANTEP) [North 3.9 km]
000007	20240229194729	2024.02.29	19:47:29.32	38.1290	36.5452	005.3	3.0	0.0	3.0	3.0	0.0	0.0	Ke	CAMDERE-GOKSUN (KAHRAMANMARAS) [North West  1.7 km]
000008	20240229192747	2024.02.29	19:27:47.81	35.6480	28.5983	009.6	3.7	0.0	3.7	3.7	0.0	0.0	Ke	AKDENIZ
000009	20240229155206	2024.02.29	15:52:06.38	38.8903	27.2670	009.5	3.2	0.0	3.2	3.2	0.0	0.0	Ke	PINARKOY- (MANISA) [North West  1.1 km]
000010	20240229133558	2024.02.29	13:35:58.29	38.2673	30.5690	010.1	2.2	0.0	2.2	0.0	0.0	0.0	Ke	AKCIN-DINAR (AFYONKARAHISAR) [North East  2.2 km]
